,fraud,delivery_method,fb_published,ticket_type_length,gross_profits_dummie,channels,user_type,sale_duration2
0,True,0.0,0,False,0,5,1,33
1,False,1.0,0,False,3,0,3,28
2,False,1.0,0,False,4,8,3,54
3,False,1.0,0,False,3,6,3,0
4,False,0.0,1,False,4,11,3,63
5,False,0.0,0,False,3,6,1,65
6,False,1.0,0,False,3,5,3,35
7,False,0.0,0,False,3,12,3,21
8,False,0.0,1,False,4,4,3,38
9,False,0.0,0,False,3,12,3,28
10,False,1.0,0,False,3,8,3,19
11,False,1.0,0,False,3,10,3,27
12,False,1.0,0,False,3,8,4,75
13,False,1.0,0,False,3,5,4,62
14,False,0.0,1,False,4,11,3,51
15,False,0.0,0,False,4,6,3,61
16,False,0.0,0,False,4,6,3,33
17,False,0.0,0,False,1,5,1,19
18,False,1.0,1,False,4,11,4,185
19,False,1.0,0,False,4,6,3,51
20,False,1.0,1,False,4,6,3,46
21,False,0.0,0,False,2,5,3,27
22,False,0.0,0,False,2,5,3,19
23,False,1.0,0,False,2,8,3,35
24,False,0.0,0,False,4,6,3,30
25,False,1.0,1,False,2,8,3,46
26,True,0.0,0,False,3,11,3,0
27,False,1.0,0,False,4,5,3,35
28,False,1.0,1,False,4,11,4,100
29,False,0.0,0,False,3,5,4,16
30,False,1.0,1,False,4,0,4,35
31,False,0.0,0,False,1,12,3,150
32,False,1.0,0,False,3,0,3,20
33,False,1.0,0,False,3,5,4,70
34,False,1.0,0,False,1,8,3,26
35,False,1.0,0,False,4,8,3,24
36,False,0.0,0,False,3,11,1,38
37,False,1.0,0,False,4,11,3,60
38,False,0.0,0,False,4,5,3,9
39,False,1.0,0,False,4,11,4,128
40,False,3.0,1,False,0,8,3,68
41,False,0.0,0,False,2,8,3,12
42,False,0.0,0,False,0,8,3,18
43,False,0.0,0,False,1,11,3,0
44,False,1.0,0,False,1,6,3,36
45,False,0.0,1,False,3,11,1,61
46,False,0.0,0,False,1,11,3,97
47,False,0.0,0,False,3,6,1,24
48,False,0.0,0,False,3,8,3,49
49,False,0.0,1,False,2,6,4,66
50,False,0.0,0,False,4,11,3,81
51,True,0.0,1,False,2,6,1,132
52,False,1.0,0,False,4,11,3,70
53,False,0.0,0,False,2,13,3,53
54,True,0.0,0,False,0,11,1,6
55,False,1.0,0,False,3,8,3,219
56,False,1.0,0,False,3,6,3,56
57,False,0.0,0,False,0,5,3,47
58,False,1.0,0,False,2,8,3,71
59,False,0.0,0,False,2,12,1,17
60,False,0.0,1,False,0,5,3,28
61,False,0.0,0,False,4,6,3,13
62,False,1.0,0,False,4,11,4,63
63,False,0.0,0,False,1,6,4,8
64,False,0.0,0,False,3,5,1,8
65,False,1.0,0,False,3,8,3,32
66,False,0.0,1,False,1,5,1,34
67,False,0.0,0,False,1,5,4,42
68,False,0.0,1,False,1,6,4,10
69,False,1.0,0,False,3,8,4,25
70,True,0.0,1,False,0,13,1,65
71,False,0.0,0,False,2,8,3,36
72,False,0.0,1,False,1,8,3,74
73,False,0.0,0,False,1,6,1,100
74,False,0.0,0,False,1,12,1,16
75,False,0.0,0,False,1,12,1,22
76,False,1.0,0,False,3,10,3,45
77,False,0.0,0,False,1,11,4,20
78,False,1.0,0,False,3,11,3,47
79,False,1.0,1,False,1,11,3,21
80,False,0.0,0,False,4,0,1,14
81,False,0.0,0,False,2,8,4,0
82,False,3.0,0,False,3,8,3,15
83,False,1.0,0,False,4,9,3,281
84,False,0.0,0,False,4,0,3,0
85,False,0.0,0,False,1,6,4,29
86,False,0.0,0,False,3,11,3,32
87,False,1.0,0,False,2,10,3,48
88,False,0.0,0,False,3,5,1,44
89,False,1.0,0,False,4,8,3,114
90,False,1.0,0,False,3,8,3,158
91,False,0.0,0,False,1,8,3,58
92,False,0.0,0,False,2,0,5,1
93,False,1.0,0,False,3,0,3,140
94,False,0.0,1,False,1,6,3,43
95,False,0.0,0,False,3,6,3,55
96,False,0.0,1,False,2,6,4,9
97,False,1.0,0,False,4,5,1,22
