fraud,delivery_method,fb_published,ticket_type_length,gross_profits_dummie,channels,user_type,sale_duration2
True,0.0,0,False,0,5,1,33
False,1.0,0,False,3,0,3,28
False,1.0,0,False,4,8,3,54
False,1.0,0,False,3,6,3,0
False,0.0,1,False,4,11,3,63
False,0.0,0,False,3,6,1,65
False,1.0,0,False,3,5,3,35
False,0.0,0,False,3,12,3,21
False,0.0,1,False,4,4,3,38
False,0.0,0,False,3,12,3,28
False,1.0,0,False,3,8,3,19
False,1.0,0,False,3,10,3,27
False,1.0,0,False,3,8,4,75
False,1.0,0,False,3,5,4,62
False,0.0,1,False,4,11,3,51
False,0.0,0,False,4,6,3,61
False,0.0,0,False,4,6,3,33
False,0.0,0,False,1,5,1,19
False,1.0,1,False,4,11,4,185
False,1.0,0,False,4,6,3,51
False,1.0,1,False,4,6,3,46
False,0.0,0,False,2,5,3,27
False,0.0,0,False,2,5,3,19
False,1.0,0,False,2,8,3,35
False,0.0,0,False,4,6,3,30
False,1.0,1,False,2,8,3,46
True,0.0,0,False,3,11,3,0
False,1.0,0,False,4,5,3,35
False,1.0,1,False,4,11,4,100
False,0.0,0,False,3,5,4,16
False,1.0,1,False,4,0,4,35
False,0.0,0,False,1,12,3,150
False,1.0,0,False,3,0,3,20
False,1.0,0,False,3,5,4,70
False,1.0,0,False,1,8,3,26
False,1.0,0,False,4,8,3,24
False,0.0,0,False,3,11,1,38
False,1.0,0,False,4,11,3,60
False,0.0,0,False,4,5,3,9
False,1.0,0,False,4,11,4,128
False,3.0,1,False,0,8,3,68
False,0.0,0,False,2,8,3,12
False,0.0,0,False,0,8,3,18
False,0.0,0,False,1,11,3,0
False,1.0,0,False,1,6,3,36
False,0.0,1,False,3,11,1,61
False,0.0,0,False,1,11,3,97
False,0.0,0,False,3,6,1,24
False,0.0,0,False,3,8,3,49
False,0.0,1,False,2,6,4,66
False,0.0,0,False,4,11,3,81
True,0.0,1,False,2,6,1,132
False,1.0,0,False,4,11,3,70
False,0.0,0,False,2,13,3,53
True,0.0,0,False,0,11,1,6
False,1.0,0,False,3,8,3,219
False,1.0,0,False,3,6,3,56
False,0.0,0,False,0,5,3,47
False,1.0,0,False,2,8,3,71
False,0.0,0,False,2,12,1,17
False,0.0,1,False,0,5,3,28
False,0.0,0,False,4,6,3,13
False,1.0,0,False,4,11,4,63
False,0.0,0,False,1,6,4,8
False,0.0,0,False,3,5,1,8
False,1.0,0,False,3,8,3,32
False,0.0,1,False,1,5,1,34
False,0.0,0,False,1,5,4,42
False,0.0,1,False,1,6,4,10
False,1.0,0,False,3,8,4,25
True,0.0,1,False,0,13,1,65
False,0.0,0,False,2,8,3,36
False,0.0,1,False,1,8,3,74
False,0.0,0,False,1,6,1,100
False,0.0,0,False,1,12,1,16
False,0.0,0,False,1,12,1,22
False,1.0,0,False,3,10,3,45
False,0.0,0,False,1,11,4,20
False,1.0,0,False,3,11,3,47
False,1.0,1,False,1,11,3,21
False,0.0,0,False,4,0,1,14
False,0.0,0,False,2,8,4,0
False,3.0,0,False,3,8,3,15
False,1.0,0,False,4,9,3,281
False,0.0,0,False,4,0,3,0
False,0.0,0,False,1,6,4,29
False,0.0,0,False,3,11,3,32
False,1.0,0,False,2,10,3,48
False,0.0,0,False,3,5,1,44
False,1.0,0,False,4,8,3,114
False,1.0,0,False,3,8,3,158
False,0.0,0,False,1,8,3,58
False,0.0,0,False,2,0,5,1
False,1.0,0,False,3,0,3,140
False,0.0,1,False,1,6,3,43
False,0.0,0,False,3,6,3,55
False,0.0,1,False,2,6,4,9
False,1.0,0,False,4,5,1,22
False,1.0,0,False,0,11,3,3
False,0.0,0,False,2,8,4,46
False,1.0,0,False,3,5,3,22
False,1.0,1,False,4,11,1,113
False,0.0,1,False,3,11,3,28
False,0.0,0,False,2,6,3,41
False,0.0,0,False,1,5,1,10
False,1.0,0,False,4,11,4,49
False,0.0,0,False,3,8,4,38
False,1.0,1,False,2,11,3,25
False,1.0,0,False,2,5,1,30
False,1.0,1,False,3,5,3,35
False,1.0,1,False,3,6,3,270
False,0.0,0,False,2,8,3,57
False,0.0,0,False,1,0,3,15
False,0.0,0,False,2,5,3,26
False,0.0,1,False,2,8,3,147
False,0.0,0,False,2,5,3,13
False,0.0,0,False,4,11,3,16
False,0.0,0,False,2,0,4,30
False,1.0,0,False,4,11,3,99
False,0.0,0,False,4,11,4,39
False,1.0,0,False,4,8,3,15
False,0.0,0,False,2,0,3,15
False,1.0,0,False,4,11,3,55
False,1.0,0,False,3,6,3,25
False,0.0,0,False,4,12,3,143
False,0.0,0,False,4,11,3,44
False,1.0,0,False,2,8,3,27
